YEAR,MONTH,DAY,TMIN,TMAX,TAVG,RHMIN,RHMAX,RHAVG,VPMIN,VPMAX,VPAVG,WIND,W_DIR,TOTALSOLAR,AVG_B_PRESS,PPFD
1983,9,1,15.2,26.5,19.5458333,73,93,88.7916667,15.96,26.38,20.3258333,0,0,316.3,,
1983,9,2,16.7,20.7,18.3458333,89,92,91.1666667,17.46,21.81,19.2704167,0,0,85.2,,
1983,9,3,17.1,23,18.9666667,83,92,90.7083333,17.82,23.85,19.8941667,0,0,119.6,,
1983,9,4,17.7,26.2,20.7041667,79,92,89.0833333,18.58,27.17,21.8020833,0,0,244.2,,
1983,9,5,17.8,29.4,22.7416667,62,92,84,18.65,29.46,23.1545833,0,0,399.8,,
1983,9,6,15.1,29.9,21.6125,56,92,82.625,15.81,27.64,21.2175,0,0,466.1,,
1983,9,7,15.9,28.8,21.1875,61,92,84.5416667,16.55,29.44,21.2995833,0,0,420.9,,
1983,9,8,15.4,30.9,21.125,58,92,85.875,16.05,28.87,21.5666667,0,0,383.4,,
1983,9,9,15.6,30.5,21.3416667,61,92,86.375,16.26,29.59,22.0658333,0,0,402.4,,
1983,9,10,17.8,31.3,21.7416667,57,91,86.375,18.55,30.88,22.5733333,0,0,402.5,,
1983,9,11,16.5,30.5,21.0875,58,92,87.75,17.16,30.69,22.115,0,0,348.5,,
1983,9,12,17.2,30,21.6,56,91,84.5833333,17.86,29.13,21.8291667,0,0,412.9,,
1983,9,13,16.9,24.1,19.4333333,77,92,88.875,17.63,23.69,20.1129167,0,0,198.9,,
1983,9,14,12,22.1,17.7,73,93,87.9583333,13.01,20.91,17.8875,0,0,184.2,,
1983,9,15,10.8,22,14.7916667,57,93,82.5833333,12.01,16.48,13.6683333,0,0,387.4,,
1983,9,16,8.6,22.8,15.9125,67,93,84.6666667,10.4,19.16,15.4041667,0,0,409.4,,
1983,9,17,13,27.2,18.5625,54,92,83.625,13.77,23.72,17.7866667,0,0,443.2,,
1983,9,18,9.9,29.3,17.5791667,48,93,83.9166667,11.28,24.21,16.8929167,0,0,463,,
1983,9,19,13.1,27.3,18.9708333,60,92,83.875,13.87,24.9,18.3154167,0,0,414.5,,
1983,9,20,18.1,22.1,19.5833333,86,91,89.8333333,18.83,23.36,20.4858333,0,0,129.8,,
1983,9,21,5.6,21.7,16.4208333,68,91,84.5,7.93,22.99,16.5054167,0,0,211.2,,
1983,9,22,2.8,17.7,9.4375,27,94,66.5416667,5.03,9.65,7.29375,0,0,562.4,,
1983,9,23,-0.2,20.1,8,39,94,80.125,5.67,12.61,8.35916667,0,0,443.5,,
1983,9,24,-0.1,19.2,8.3625,44,95,80.125,5.72,12.11,8.58291667,0,0,515.7,,
1983,9,25,0.3,20.9,9.8625,45,94,79.75,5.89,14.19,9.5675,0,0,482.1,,
1983,9,26,7.5,22.9,13.1875,41,93,80.4166667,9.59,15.75,11.8820833,0,0,445.8,,
1983,9,27,5.7,24,12.6833333,41,93,81.75,8.5,16.4,11.76,0,0,477.1,,
1983,9,28,5,25.1,12.725,37,93,81.125,8.12,16.69,11.64375,0,0,448.3,,
1983,9,29,7.8,23.7,13.9333333,52,93,83.0416667,9.81,18.5,13.2016667,0,0,374.7,,
